Date,Open,High,Low,Close,Volume
2007/12/26,25.1,25.2,24.95,25.15,2354
2007/12/27,25.15,25.58,25.15,25.43,10964
2007/12/28,25.53,25.66,25.4,25.6,9327
2007/12/31,25.7,26.05,25.7,26.04,3441
2008/1/2,26,26.15,25.7,25.75,3825
2008/1/3,25.38,25.45,25.25,25.4,3152
2008/1/4,25.08,25.45,25.05,25.45,1544
2008/1/7,25.05,25.4,24.98,25.05,5392
2008/1/8,25.1,25.4,25.08,25.36,2480
2008/1/9,25.25,25.61,25.2,25.56,1971
2008/1/10,25.78,25.84,25.65,25.75,2394
2008/1/11,25.84,25.84,25.7,25.8,2795
2008/1/14,26,26.05,25.63,25.9,2800
2008/1/15,26,26.55,25.91,26.22,6143
2008/1/16,26,26,25.53,25.75,3914
2008/1/17,25.81,25.85,24.8,25.04,3525
2008/1/18,24.7,25.05,24.46,25.05,3826
2008/1/21,25,25.05,24.88,24.89,1101
2008/1/22,24,24,23.15,23.5,4992
2008/1/23,23.76,23.76,22.98,23.01,3236
2008/1/24,23.5,23.6,23.15,23.41,1651
2008/1/25,23.68,23.8,23.44,23.8,2083
2008/1/28,23.5,23.5,22.9,22.9,2591
2008/1/29,23.12,23.22,22.61,22.73,1571
2008/1/30,22.75,23.1,22.73,22.74,1312
2008/1/31,22.74,22.89,22.6,22.73,719
2008/2/1,23,23.1,22.99,23.05,710
2008/2/12,22.8,23,22.8,22.92,654
2008/2/13,23.14,23.14,22.79,22.8,767
2008/2/14,23.13,23.6,23.01,23.5,1292
2008/2/15,23.34,23.55,23.2,23.5,980
2008/2/18,23.65,23.77,23.58,23.66,694
2008/2/19,23.8,23.98,23.78,23.93,729
2008/2/20,23.9,23.97,23.66,23.67,815
2008/2/21,23.7,23.82,23.68,23.79,1323
2008/2/22,23.75,23.8,23.56,23.8,756
2008/2/25,23.99,24.25,23.95,24.25,1184
2008/2/26,24.5,24.9,24.25,24.5,1444
2008/2/27,24.8,24.8,24.5,24.55,915
2008/2/29,24.6,24.79,24.38,24.75,925
2008/3/3,24.01,24.64,24,24.64,677
2008/3/4,24.63,25,24.61,24.96,888
2008/3/5,24.96,25.1,24.93,25,1242
2008/3/6,25.15,25.5,25.15,25.5,2234
2008/3/7,25,25.65,25,25.3,1493
2008/3/10,25.25,25.29,24.95,24.97,767
2008/3/11,25,25,24.6,24.95,588
2008/3/12,25.4,25.4,25,25.11,1021
2008/3/13,25.11,25.11,24.68,24.88,482
2008/3/14,24.85,24.98,24.45,24.63,966
2008/3/17,23.9,24.3,23.7,24.2,2207
2008/3/18,24.5,24.5,23.7,24.25,2745
2008/3/19,24.45,24.6,24.25,24.3,1050
2008/3/20,24.2,24.6,24.2,24.6,401
2008/3/21,24.9,24.99,24.8,24.99,1137
2008/3/24,26.4,26.42,25.55,25.79,4781
2008/3/25,25.8,25.9,25.5,25.71,2634
2008/3/26,25.7,25.9,25.65,25.7,2185
2008/3/27,25.5,25.7,25.25,25.26,961
2008/3/28,25.2,25.73,25.2,25.73,1250
2008/3/31,25.73,25.75,25.45,25.5,970
2008/4/1,25.5,25.6,25.45,25.45,778
2008/4/2,25.65,25.75,25.5,25.56,616
2008/4/3,25.52,25.54,25.47,25.5,651
2008/4/7,25.5,25.69,25.48,25.63,738
2008/4/8,25.63,25.69,25.55,25.6,797
2008/4/9,25.6,25.65,25.41,25.55,795
2008/4/10,25.45,25.8,25.45,25.75,1586
2008/4/11,25.8,26.17,25.77,25.98,2779
2008/4/14,25.98,26.22,25.8,26.16,1689
2008/4/15,26.16,26.35,26.16,26.25,1702
2008/4/16,26.36,26.8,26.36,26.74,2440
2008/4/17,26.98,27,26.8,26.82,4023
2008/4/18,26.82,26.82,26.4,26.65,1376
2008/4/21,26.72,26.86,26.6,26.6,1305
2008/4/22,26.4,26.73,26.4,26.7,1981
2008/4/23,26.5,26.67,26.41,26.6,1289
2008/4/24,26.6,26.77,26.51,26.6,1185
2008/4/25,26.6,26.83,26.6,26.65,2203
2008/4/28,26.7,26.8,26.51,26.75,1051
2008/4/29,26.82,26.82,26.5,26.5,1334
2008/4/30,26.4,26.5,26.25,26.3,876
2008/5/2,26.45,26.7,26.45,26.63,1121
2008/5/5,26.56,26.59,26.3,26.32,791
2008/5/6,26.3,26.3,26.15,26.25,377
2008/5/7,26.25,26.4,26.2,26.28,550
2008/5/8,26.28,26.28,26.1,26.25,292
